Munkalap;Excel sor;Teljesítés;Szállító;Számlaszám;Összeg;Határidő;Egység (kitöltendő)
COCA-COLA;88;2026-08-31;Coca-Cola HBC Mo Kft;1604991068;70931;;
Gastroil;102;2026-08-26;Gastroil Mo. Zrt;W/2026/1702850;92980;2026-09-03;
Koncsik;63;2026-08-07;Koncsik László, 60172613;E-KL-2026-34;284819;2026-08-15;
Koncsik;64;2026-08-26;Koncsik László, 60172613;E-KL-2026-36;291338;2026-09-10;
Koncsik;65;2026-08-26;Koncsik László, 60172613;E-KL-2026-35;300533;2026-09-03;
MV GASTRO;124;2026-08-05;MV Gastro Kft.;MV-2026/33283;39116;2026-08-18;
MV GASTRO;129;2026-08-31;MV Gastro Kft.;MV-2026/33753;56522;2026-09-11;
MV GASTRO;130;2026-08-28;MV Gastro Kft.;MV-2026/33752;52706;2026-09-11;
Magyarüditő;156;2026-08-05;Magyarüdítő Forg. Kft;702653479;92196;;
Magyarüditő;163;2026-08-18;Magyarüdítő Forg. Kft;702658340;101603;;
Magyarüditő;164;2026-08-27;Magyarüdítő Forg. Kft;702661166;115179;;
PRIBOFOOD;270;2026-08-31;Pribofood Kft;110755/2026;122705;2026-09-08;
VEGYES áru;112;2026-08-31;BioTechUSA Kft.;BBE2026175159;119662;2026-09-30;
VEGYES áru;119;2026-08-26;M. L. Energy Kft.;261083912;34270;2026-09-10;
